Epoch [1/20] Loss: 4.2977  (im=0.257, ctx=0.017, txt=3.817, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [2/20] Loss: 4.2023  (im=0.251, ctx=0.023, txt=3.687, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [3/20] Loss: 4.1595  (im=0.239, ctx=0.019, txt=4.203, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [4/20] Loss: 4.1397  (im=0.244, ctx=0.039, txt=2.949, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [5/20] Loss: 4.1348  (im=0.260, ctx=0.029, txt=4.111, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [6/20] Loss: 4.1226  (im=0.203, ctx=0.028, txt=3.741, reid=0.002, g_mse=0.174, nce=0.000, entpool=0.000)
Epoch [7/20] Loss: 4.1152  (im=0.220, ctx=0.024, txt=4.023, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [8/20] Loss: 4.1072  (im=0.235, ctx=0.025, txt=3.094, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [9/20] Loss: 4.1140  (im=0.250, ctx=0.019, txt=4.186, reid=0.002, g_mse=0.152, nce=0.000, entpool=0.000)
Epoch [10/20] Loss: 4.1082  (im=0.253, ctx=0.027, txt=3.046, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [11/20] Loss: 4.1095  (im=0.233, ctx=0.018, txt=3.574, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [12/20] Loss: 4.0997  (im=0.219, ctx=0.019, txt=2.795, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [13/20] Loss: 4.1082  (im=0.232, ctx=0.021, txt=3.967, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [14/20] Loss: 4.1054  (im=0.236, ctx=0.021, txt=3.349, reid=0.001, g_mse=0.098, nce=0.000, entpool=0.000)
Epoch [15/20] Loss: 4.1039  (im=0.247, ctx=0.020, txt=3.478, reid=0.000, g_mse=0.075, nce=0.000, entpool=0.000)
Epoch [16/20] Loss: 4.1091  (im=0.261, ctx=0.025, txt=4.183, reid=0.001, g_mse=0.187, nce=0.000, entpool=0.000)
Epoch [17/20] Loss: 4.1019  (im=0.236, ctx=0.032, txt=4.008, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [18/20] Loss: 4.1065  (im=0.246, ctx=0.018, txt=3.635, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [19/20] Loss: 4.1065  (im=0.252, ctx=0.022, txt=3.684, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [20/20] Loss: 4.1004  (im=0.239, ctx=0.021, txt=5.254, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
