Epoch [1/20] Loss: 4.1657  (im=0.272, ctx=0.021, txt=4.570, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [2/20] Loss: 4.0886  (im=0.278, ctx=0.021, txt=3.732, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [3/20] Loss: 4.0539  (im=0.234, ctx=0.019, txt=3.753, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [4/20] Loss: 4.0241  (im=0.235, ctx=0.028, txt=3.843, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [5/20] Loss: 4.0005  (im=0.232, ctx=0.023, txt=2.645, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [6/20] Loss: 3.9902  (im=0.225, ctx=0.019, txt=4.320, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [7/20] Loss: 3.9660  (im=0.247, ctx=0.024, txt=3.582, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [8/20] Loss: 3.9459  (im=0.229, ctx=0.015, txt=3.396, reid=0.000, g_mse=0.118, nce=0.000, entpool=0.000)
Epoch [9/20] Loss: 3.9316  (im=0.251, ctx=0.017, txt=2.842, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [10/20] Loss: 3.9131  (im=0.228, ctx=0.020, txt=3.510, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [11/20] Loss: 3.9027  (im=0.238, ctx=0.017, txt=3.949, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [12/20] Loss: 3.8824  (im=0.238, ctx=0.020, txt=2.924, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [13/20] Loss: 3.8687  (im=0.231, ctx=0.013, txt=3.994, reid=0.000, g_mse=0.125, nce=0.000, entpool=0.000)
Epoch [14/20] Loss: 3.8612  (im=0.254, ctx=0.019, txt=3.726, reid=0.000, g_mse=0.118, nce=0.000, entpool=0.000)
Epoch [15/20] Loss: 3.8430  (im=0.252, ctx=0.033, txt=3.588, reid=0.000, g_mse=0.173, nce=0.000, entpool=0.000)
Epoch [16/20] Loss: 3.8290  (im=0.275, ctx=0.018, txt=3.306, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [17/20] Loss: 3.8225  (im=0.283, ctx=0.022, txt=3.340, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [18/20] Loss: 3.8109  (im=0.224, ctx=0.037, txt=2.790, reid=0.001, g_mse=0.172, nce=0.000, entpool=0.000)
Epoch [19/20] Loss: 3.8042  (im=0.235, ctx=0.018, txt=3.756, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [20/20] Loss: 3.7888  (im=0.247, ctx=0.016, txt=3.355, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
