Epoch [1/20] Loss: 4.0309  (im=0.242, ctx=0.021, txt=4.027, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [2/20] Loss: 3.9856  (im=0.241, ctx=0.018, txt=4.698, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [3/20] Loss: 3.9571  (im=0.236, ctx=0.023, txt=3.585, reid=0.001, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [4/20] Loss: 3.9329  (im=0.229, ctx=0.027, txt=3.287, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [5/20] Loss: 3.9147  (im=0.225, ctx=0.016, txt=3.728, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [6/20] Loss: 3.8983  (im=0.223, ctx=0.035, txt=4.333, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [7/20] Loss: 3.8787  (im=0.205, ctx=0.022, txt=3.785, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [8/20] Loss: 3.8638  (im=0.224, ctx=0.026, txt=4.272, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [9/20] Loss: 3.8475  (im=0.249, ctx=0.027, txt=3.868, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [10/20] Loss: 3.8328  (im=0.235, ctx=0.016, txt=3.983, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [11/20] Loss: 3.8166  (im=0.260, ctx=0.017, txt=3.589, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [12/20] Loss: 3.8049  (im=0.222, ctx=0.022, txt=2.943, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [13/20] Loss: 3.7934  (im=0.248, ctx=0.021, txt=3.961, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [14/20] Loss: 3.7803  (im=0.231, ctx=0.031, txt=3.585, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [15/20] Loss: 3.7649  (im=0.241, ctx=0.016, txt=3.088, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [16/20] Loss: 3.7541  (im=0.238, ctx=0.029, txt=3.693, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [17/20] Loss: 3.7409  (im=0.215, ctx=0.023, txt=4.325, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [18/20] Loss: 3.7264  (im=0.266, ctx=0.033, txt=3.283, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [19/20] Loss: 3.7131  (im=0.234, ctx=0.020, txt=3.039, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
Epoch [20/20] Loss: 3.7020  (im=0.229, ctx=0.015, txt=2.998, reid=0.000, g_mse=0.000, nce=0.000, entpool=0.000)
